Series ID,Series Title,Category?,Type of Days,Type of Estimate,Age Group,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
TUU10101AA01000005,Hours in a day - Nonholiday weekdays,,Nonholiday weekdays,Average hours per day,15 years and over,24,24,24,24,24,24,24,24,24,24,24,
TUU10101AA01000003,Hours in a day - Weekend days and holidays,,Weekend days and holidays,Average hours per day,15 years and over,24,24,24,24,24,24,24,24,24,24,24,
TUU10101AA01008834,Personal care activities (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,9.1,9.2,9.2,9.24,9.21,9.3,9.33,9.42,9.31,9.33,9.32,
TUU10101AA01013242,Eating and drinking (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,1.18,1.18,1.2,1.19,1.19,1.17,1.13,1.12,1.12,1.11,1.12,
TUU10101AA01009386,Household activities (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,1.57,1.7,1.68,1.63,1.59,1.65,1.63,1.71,1.69,1.65,1.63,
TUU10101AA01012657,Purchasing goods and services (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,0.71,0.72,0.71,0.69,0.68,0.7,0.69,0.7,0.71,0.69,0.67,
TUU10101AA01010379,Caring for and helping household members (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,0.57,0.57,0.54,0.54,0.54,0.56,0.56,0.54,0.54,0.55,0.53,
TUU10101AA01011179,Caring for and helping nonhousehold members (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,0.22,0.19,0.2,0.2,0.17,0.18,0.17,0.17,0.21,0.17,0.2,
TUU10101AA01011992,Working and work-related activities (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,4.74,4.5,4.4,4.49,4.49,4.41,4.54,4.47,4.6,4.58,4.61,
TUU10101AA01012340,Educational activities,Y,Nonholiday weekdays,Average hours per day,15 years and over,0.61,0.58,0.6,0.6,0.63,0.6,0.53,0.58,0.6,0.61,0.58,
TUU10101AA01015015,"Organizational, civic, and religious activities",Y,Nonholiday weekdays,Average hours per day,15 years and over,0.25,0.23,0.26,0.25,0.22,0.22,0.24,0.24,0.24,0.24,0.23,
TUU10101AA01013590,Leisure and sports (includes travel),Y,Nonholiday weekdays,Average hours per day,15 years and over,4.62,4.71,4.67,4.73,4.85,4.74,4.79,4.69,4.58,4.72,4.72,
TUU10101AA01015591,"Telephone calls, mail, and e-mail (includes travel)",Y,Nonholiday weekdays,Average hours per day,15 years and over,0.23,0.2,0.18,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.15,
TUU10101AA01015930,"Other activities, not elsewhere classified (includes misc. travel and data codes)",Y,Nonholiday weekdays,Average hours per day,15 years and over,0.2,0.23,0.35,0.3,0.25,0.31,0.24,0.2,0.22,0.2,0.25,
TUU10101AA01008832,Personal care activities (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,10.07,10.04,10.11,10.08,10.13,10.11,10.16,10.17,10.21,10.2,10.18,
TUU10101AA01013240,Eating and drinking (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,1.35,1.33,1.36,1.37,1.39,1.37,1.29,1.33,1.29,1.34,1.35,
TUU10101AA01009384,Household activities (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,2.08,2.04,2.06,2.12,2.08,2.09,2.11,2.16,2.14,2.2,2.13,
TUU10101AA01012655,Purchasing goods and services (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,0.91,0.87,0.82,0.81,0.81,0.84,0.84,0.85,0.87,0.79,0.84,
TUU10101AA01010377,Caring for and helping household members (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,0.44,0.46,0.43,0.42,0.44,0.46,0.49,0.45,0.47,0.46,0.47,
TUU10101AA01011177,Caring for and helping nonhousehold members (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,0.24,0.26,0.23,0.23,0.21,0.22,0.21,0.23,0.21,0.22,0.24,
TUU10101AA01011990,Working and work-related activities (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,1.38,1.24,1.33,1.38,1.29,1.27,1.38,1.28,1.26,1.27,1.14,
TUU10101AA01012338,Educational activities,Y,Weekend days and holidays,Average hours per day,15 years and over,0.14,0.21,0.18,0.18,0.2,0.18,0.16,0.19,0.23,0.2,0.17,
TUU10101AA01015013,"Organizational, civic, and religious activities",Y,Weekend days and holidays,Average hours per day,15 years and over,0.53,0.58,0.56,0.61,0.55,0.56,0.52,0.55,0.52,0.53,0.49,
TUU10101AA01013588,Leisure and sports (includes travel),Y,Weekend days and holidays,Average hours per day,15 years and over,6.48,6.53,6.4,6.34,6.57,6.46,6.5,6.43,6.43,6.46,6.56,
TUU10101AA01015589,"Telephone calls, mail, and e-mail (includes travel)",Y,Weekend days and holidays,Average hours per day,15 years and over,0.18,0.19,0.16,0.15,0.13,0.13,0.14,0.16,0.14,0.12,0.13,
TUU10101AA01015928,"Other activities, not elsewhere classified (includes misc. travel and data codes)",Y,Weekend days and holidays,Average hours per day,15 years and over,0.21,0.27,0.34,0.29,0.21,0.32,0.21,0.19,0.24,0.21,0.3,
TUU10101AA01000252,Sleeping,N,Nonholiday weekdays,Average hours per day,15 years and over,8.3,8.39,8.38,8.45,8.45,8.48,8.54,8.59,8.5,8.53,8.54,* Includes naps and spells of sleeplessness.
TUU10101AA01000870,Housework,N,Nonholiday weekdays,Average hours per day,15 years and over,0.53,0.55,0.53,0.52,0.54,0.54,0.51,0.52,0.52,0.5,0.49,
TUU10101AA01001107,Food preparation and cleanup,N,Nonholiday weekdays,Average hours per day,15 years and over,0.5,0.52,0.54,0.54,0.51,0.55,0.57,0.59,0.58,0.57,0.55,
TUU10101AA01001488,Lawn and garden care,N,Nonholiday weekdays,Average hours per day,15 years and over,0.16,0.18,0.18,0.16,0.16,0.15,0.15,0.17,0.17,0.15,0.16,
TUU10101AA01009938,Household management,N,Nonholiday weekdays,Average hours per day,15 years and over,0.12,0.13,0.12,0.11,0.12,0.12,0.11,0.12,0.13,0.11,0.13,"* Excludes household and personal mail, e-mail, and messages."
TUU10101AA01004068,Consumer goods purchases,N,Nonholiday weekdays,Average hours per day,15 years and over,0.32,0.33,0.32,0.32,0.3,0.31,0.3,0.31,0.31,0.3,0.27,
TUU10101AA01004377,Professional and personal care services,N,Nonholiday weekdays,Average hours per day,15 years and over,0.1,0.11,0.1,0.09,0.1,0.1,0.11,0.1,0.1,0.1,0.12,
TUU10101AA01010715,Caring for and helpig household children under 18,N,Nonholiday weekdays,Average hours per day,15 years and over,0.44,0.44,0.42,0.41,0.42,0.43,0.42,0.41,0.41,0.41,0.39,
TUU10101AA01011755,Caring for and helping nonhousehold adults,N,Nonholiday weekdays,Average hours per day,15 years and over,0.07,0.06,0.08,0.06,0.05,0.05,0.06,0.06,0.07,0.06,0.06,
TUU10101AA01002862,Working,N,Nonholiday weekdays,Average hours per day,15 years and over,4.29,4.06,3.96,4.04,4.06,4.01,4.11,4.04,4.19,4.14,4.18,
TUU10101AA01003660,Attending class,N,Nonholiday weekdays,Average hours per day,15 years and over,0.38,0.36,0.39,0.38,0.39,0.37,0.33,0.34,0.38,0.36,0.35,
TUU10101AA01003864,Homework and research,N,Nonholiday weekdays,Average hours per day,15 years and over,0.18,0.16,0.16,0.15,0.17,0.19,0.16,0.18,0.18,0.19,0.19,
TUU10101AA01006859,Religious and spiritual activities,N,Nonholiday weekdays,Average hours per day,15 years and over,0.08,0.07,0.09,0.07,0.07,0.07,0.08,0.08,0.1,0.07,0.08,
TUU10101AA01015354,Volunteering (organizational and civic activities),N,Nonholiday weekdays,Average hours per day,15 years and over,0.15,0.13,0.14,0.14,0.12,0.12,0.13,0.14,0.12,0.15,0.12,
TUU10101AA01013956,Socializing and communicating,N,Nonholiday weekdays,Average hours per day,15 years and over,0.54,0.52,0.55,0.55,0.61,0.54,0.58,0.51,0.52,0.52,0.49,
TUU10101AA01014241,Watching TV,N,Nonholiday weekdays,Average hours per day,15 years and over,2.55,2.61,2.52,2.57,2.58,2.57,2.6,2.56,2.48,2.5,2.61,
TUU10101AA01014526,"Participating in sports, exercise, and recreation (includes related waiting and security)",N,Nonholiday weekdays,Average hours per day,15 years and over,0.27,0.29,0.29,0.28,0.3,0.27,0.28,0.29,0.29,0.26,0.27,
TUU10101AA01000250,Sleeping,N,Weekend days and holidays,Average hours per day,15 years and over,9.31,9.33,9.34,9.35,9.39,9.34,9.4,9.4,9.48,9.44,9.46,* Includes naps and spells of sleeplessness.
TUU10101AA01000868,Housework,N,Weekend days and holidays,Average hours per day,15 years and over,0.7,0.71,0.67,0.71,0.74,0.65,0.67,0.71,0.7,0.68,0.68,
TUU10101AA01001105,Food preparation and cleanup,N,Weekend days and holidays,Average hours per day,15 years and over,0.59,0.59,0.6,0.59,0.56,0.63,0.62,0.62,0.62,0.67,0.67,
TUU10101AA01001486,Lawn and garden care,N,Weekend days and holidays,Average hours per day,15 years and over,0.25,0.24,0.28,0.26,0.23,0.25,0.27,0.25,0.25,0.25,0.22,
TUU10101AA01009936,Household management,N,Weekend days and holidays,Average hours per day,15 years and over,0.15,0.14,0.14,0.14,0.15,0.15,0.13,0.15,0.16,0.17,0.16,"* Excludes household and personal mail, e-mail, and messages."
TUU10101AA01004066,Consumer goods purchases,N,Weekend days and holidays,Average hours per day,15 years and over,0.53,0.5,0.49,0.48,0.48,0.5,0.49,0.5,0.48,0.46,0.48,
TUU10101AA01004375,Professional and personal care services,N,Weekend days and holidays,Average hours per day,15 years and over,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.05,0.03,0.04,
TUU10101AA01010713,Caring for and helpig household children under 18,N,Weekend days and holidays,Average hours per day,15 years and over,0.37,0.39,0.36,0.35,0.37,0.37,0.39,0.37,0.39,0.37,0.38,
TUU10101AA01011753,Caring for and helping nonhousehold adults,N,Weekend days and holidays,Average hours per day,15 years and over,0.09,0.1,0.09,0.09,0.07,0.08,0.07,0.09,0.08,0.1,0.09,
TUU10101AA01002860,Working,N,Weekend days and holidays,Average hours per day,15 years and over,1.24,1.09,1.18,1.23,1.15,1.14,1.23,1.17,1.11,1.13,1.02,
TUU10101AA01003658,Attending class,N,Weekend days and holidays,Average hours per day,15 years and over,0.01,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.01,
TUU10101AA01003862,Homework and research,N,Weekend days and holidays,Average hours per day,15 years and over,0.12,0.15,0.15,0.15,0.16,0.16,0.13,0.15,0.19,0.16,0.15,
TUU10101AA01006857,Religious and spiritual activities,N,Weekend days and holidays,Average hours per day,15 years and over,0.3,0.32,0.31,0.35,0.33,0.31,0.29,0.32,0.31,0.29,0.28,
TUU10101AA01015352,Volunteering (organizational and civic activities),N,Weekend days and holidays,Average hours per day,15 years and over,0.16,0.19,0.18,0.19,0.15,0.18,0.15,0.16,0.14,0.17,0.14,
TUU10101AA01013954,Socializing and communicating,N,Weekend days and holidays,Average hours per day,15 years and over,1.12,1.1,1.07,1.05,1.05,1.12,1.02,1.07,0.98,0.97,0.98,
TUU10101AA01014239,Watching TV,N,Weekend days and holidays,Average hours per day,15 years and over,3.29,3.32,3.23,3.19,3.42,3.24,3.35,3.29,3.31,3.39,3.4,
TUU10101AA01014524,"Participating in sports, exercise, and recreation (includes related waiting and security)",N,Weekend days and holidays,Average hours per day,15 years and over,0.35,0.34,0.35,0.36,0.37,0.36,0.33,0.35,0.38,0.35,0.34,